experiment,round,client_count,total_client_samples,aggregation_elapsed_seconds,measured_wall_time_seconds,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,evaluation_time_seconds
device_non_iid_fedavg,1,9,4943824,0.006370999995851889,828.8810784000088,0.8285046558382846,0.9212851875694973,0.9212851875694973,1.0,0.9590301258034055,0.5370144272095917,547.5818984999933
device_non_iid_fedavg,2,9,4943824,0.004894199999398552,805.3673351000034,0.2832131495942675,0.9286025784552301,0.928077912741837,0.9999979508280704,0.962696570696405,0.9829077316354842,513.1967737000086
device_non_iid_fedavg,3,9,4943824,0.005068799990112893,778.9399057999981,0.13351721830862606,0.9540142760861399,0.9524679930399074,0.9999887295543871,0.97565005900426,0.991823766698453,509.0552270000044
iid_fedavg,1,9,4943824,0.005771000000095228,5213.746846,0.009921289268878518,0.9979563788354474,0.9992535591795303,0.9985276699685657,0.9988904826989611,0.9991935567543235,532.3043998000003
iid_fedavg,2,9,4943824,0.0038093000002845656,4730.3939554,0.006481015780176842,0.9983820939140678,0.9992539041922796,0.9989897582386957,0.9991218137568848,0.9997045133886315,507.6882021000001
iid_fedavg,3,9,4943824,0.004016599999886239,4739.475518199999,0.005060939786535628,0.9989003147082199,0.9991418462594021,0.9996649603895066,0.9994033348715172,0.9998010753202575,510.74999059999936
