experiment,label,test_scope,test_rows,loss,accuracy,precision,recall,f1,roc_auc,evaluation_time_seconds
centralized,Centralized,global_test,1059388,0.0514431540815492,0.9946346381118155,0.9942159847851266,0.9999938524527177,0.9970965484478997,0.996898914771698,562.190823900004
device_non_iid_fedavg,Device Non-IID FedAvg,global_test,1059388,0.12925952048349448,0.9541036900550129,0.9525551897763129,0.9999897540878628,0.9756962911126662,0.9923873335790466,598.7943404000034
iid_fedavg,IID FedAvg,global_test,1059388,0.005075292918375161,0.9989493934233727,0.9991930049505254,0.9996670078555409,0.9994299502013101,0.9998589233527547,615.5877808000005
local_only,Local-only (macro),same_device_test,1059388,0.3134549104884905,0.9464151853154861,0.9458249668897108,0.9999713156117106,0.9714221613024026,0.9944165130329279,592.090621000003
local_only,Local-only (sample-weighted),same_device_test,1059388,0.3150959666733091,0.9432511978614068,0.942662236516545,0.9999757100015234,0.9696841258271108,0.9945658437267306,592.090621000003
